trial,testing,parameters,net_reward,age,success
1,False,"{'a': 0.3, 'e': 0.9995978525624233}",0.8,5,1
2,False,"{'a': 0.3, 'e': 0.9995955318789526}",0.6000000000000001,9,1
3,False,"{'a': 0.3, 'e': 0.9995931978088988}",-0.49999999999999994,10,0
4,False,"{'a': 0.3, 'e': 0.9995908502751061}",0.9,3,1
5,False,"{'a': 0.3, 'e': 0.9995884891999751}",1.0,1,1
6,False,"{'a': 0.3, 'e': 0.9995861145054593}",-0.49999999999999994,10,0
7,False,"{'a': 0.3, 'e': 0.9995837261130633}",0.95,2,1
8,False,"{'a': 0.3, 'e': 0.99958132394384}",-0.49999999999999994,10,0
9,False,"{'a': 0.3, 'e': 0.9995789079183881}",-0.49999999999999994,10,0
10,False,"{'a': 0.3, 'e': 0.9995764779568498}",-0.49999999999999994,10,0
11,False,"{'a': 0.3, 'e': 0.9995740339789073}",-0.49999999999999994,10,0
12,False,"{'a': 0.3, 'e': 0.999571575903781}",-0.49999999999999994,10,0
13,False,"{'a': 0.3, 'e': 0.9995691036502263}",-0.49999999999999994,10,0
14,False,"{'a': 0.3, 'e': 0.9995666171365315}",-0.49999999999999994,10,0
15,False,"{'a': 0.3, 'e': 0.9995641162805146}",1.0,1,1
16,False,"{'a': 0.3, 'e': 0.9995616009995208}",1.0,1,1
17,False,"{'a': 0.3, 'e': 0.9995590712104201}",1.0,1,1
18,False,"{'a': 0.3, 'e': 0.9995565268296037}",-0.49999999999999994,10,0
19,False,"{'a': 0.3, 'e': 0.9995539677729824}",1.0,1,1
20,False,"{'a': 0.3, 'e': 0.9995513939559832}",1.0,1,1
21,False,"{'a': 0.3, 'e': 0.9995488052935462}",-0.49999999999999994,10,0
22,False,"{'a': 0.3, 'e': 0.9995462017001225}",-0.49999999999999994,10,0
23,False,"{'a': 0.3, 'e': 0.999543583089671}",1.0,1,1
24,False,"{'a': 0.3, 'e': 0.999540949375656}",1.0,1,1
25,False,"{'a': 0.3, 'e': 0.9995383004710435}",1.0,1,1
26,False,"{'a': 0.3, 'e': 0.9995356362882994}",-0.49999999999999994,10,0
27,False,"{'a': 0.3, 'e': 0.9995329567393862}",-0.49999999999999994,10,0
28,False,"{'a': 0.3, 'e': 0.9995302617357593}",-0.49999999999999994,10,0
29,False,"{'a': 0.3, 'e': 0.9995275511883659}",1.0,1,1
30,False,"{'a': 0.3, 'e': 0.9995248250076398}",-0.49999999999999994,10,0
31,False,"{'a': 0.3, 'e': 0.999522083103501}",1.0,1,1
32,False,"{'a': 0.3, 'e': 0.9995193253853505}",1.0,1,1
33,False,"{'a': 0.3, 'e': 0.9995165517620687}",1.0,1,1
34,False,"{'a': 0.3, 'e': 0.9995137621420117}",1.0,1,1
35,False,"{'a': 0.3, 'e': 0.9995109564330091}",-0.49999999999999994,10,0
36,False,"{'a': 0.3, 'e': 0.99950813454236}",-0.49999999999999994,10,0
37,False,"{'a': 0.3, 'e': 0.9995052963768302}",-0.49999999999999994,10,0
38,False,"{'a': 0.3, 'e': 0.9995024418426504}",1.0,1,1
39,False,"{'a': 0.3, 'e': 0.9994995708455109}",-0.49999999999999994,10,0
40,False,"{'a': 0.3, 'e': 0.9994966832905607}",1.0,1,1
41,False,"{'a': 0.3, 'e': 0.9994937790824027}",-0.49999999999999994,10,0
42,False,"{'a': 0.3, 'e': 0.9994908581250919}",1.0,1,1
43,False,"{'a': 0.3, 'e': 0.9994879203221311}",1.0,1,1
44,False,"{'a': 0.3, 'e': 0.9994849655764688}",-0.49999999999999994,10,0
45,False,"{'a': 0.3, 'e': 0.9994819937904951}",1.0,1,1
46,False,"{'a': 0.3, 'e': 0.9994790048660391}",-0.49999999999999994,10,0
47,False,"{'a': 0.3, 'e': 0.9994759987043658}",-0.49999999999999994,10,0
48,False,"{'a': 0.3, 'e': 0.9994729752061716}",-0.49999999999999994,10,0
49,False,"{'a': 0.3, 'e': 0.9994699342715835}",-0.49999999999999994,10,0
50,False,"{'a': 0.3, 'e': 0.9994668758001531}",1.0,1,1
51,False,"{'a': 0.3, 'e': 0.9994637996908555}",-0.49999999999999994,10,0
52,False,"{'a': 0.3, 'e': 0.999460705842084}",-0.49999999999999994,10,0
53,False,"{'a': 0.3, 'e': 0.999457594151649}",-0.49999999999999994,10,0
54,False,"{'a': 0.3, 'e': 0.9994544645167728}",1.0,1,1
55,False,"{'a': 0.3, 'e': 0.999451316834087}",-0.49999999999999994,10,0
56,False,"{'a': 0.3, 'e': 0.9994481509996296}",1.0,1,1
57,False,"{'a': 0.3, 'e': 0.9994449669088401}",-0.49999999999999994,10,0
58,False,"{'a': 0.3, 'e': 0.9994417644565581}",-0.49999999999999994,10,0
59,False,"{'a': 0.3, 'e': 0.9994385435370179}",-0.49999999999999994,10,0
60,False,"{'a': 0.3, 'e': 0.9994353040438466}",1.0,1,1
61,False,"{'a': 0.3, 'e': 0.9994320458700598}",-0.49999999999999994,10,0
62,False,"{'a': 0.3, 'e': 0.999428768908058}",-0.49999999999999994,10,0
63,False,"{'a': 0.3, 'e': 0.9994254730496236}",-0.49999999999999994,10,0
64,False,"{'a': 0.3, 'e': 0.9994221581859174}",-0.49999999999999994,10,0
65,False,"{'a': 0.3, 'e': 0.9994188242074739}",0.95,2,1
66,False,"{'a': 0.3, 'e': 0.9994154710041996}",-0.49999999999999994,10,0
67,False,"{'a': 0.3, 'e': 0.9994120984653675}",-0.49999999999999994,10,0
68,False,"{'a': 0.3, 'e': 0.9994087064796151}",1.0,1,1
69,False,"{'a': 0.3, 'e': 0.9994052949349396}",-0.49999999999999994,10,0
70,False,"{'a': 0.3, 'e': 0.9994018637186948}",-0.49999999999999994,10,0
71,False,"{'a': 0.3, 'e': 0.9993984127175873}",-0.49999999999999994,10,0
72,False,"{'a': 0.3, 'e': 0.9993949418176726}",-0.49999999999999994,10,0
73,False,"{'a': 0.3, 'e': 0.999391450904352}",-0.49999999999999994,10,0
74,False,"{'a': 0.3, 'e': 0.9993879398623682}",-0.49999999999999994,10,0
75,False,"{'a': 0.3, 'e': 0.9993844085758015}",1.0,1,1
76,False,"{'a': 0.3, 'e': 0.9993808569280667}",-0.49999999999999994,10,0
77,False,"{'a': 0.3, 'e': 0.9993772848019088}",1.0,1,1
78,False,"{'a': 0.3, 'e': 0.9993736920793985}",-0.49999999999999994,10,0
79,False,"{'a': 0.3, 'e': 0.9993700786419306}",1.0,1,1
80,False,"{'a': 0.3, 'e': 0.9993664443702174}",1.0,1,1
81,False,"{'a': 0.3, 'e': 0.9993627891442864}",1.0,1,1
82,False,"{'a': 0.3, 'e': 0.9993591128434759}",-0.49999999999999994,10,0
83,False,"{'a': 0.3, 'e': 0.9993554153464314}",-0.49999999999999994,10,0
84,False,"{'a': 0.3, 'e': 0.9993516965311011}",-0.49999999999999994,10,0
85,False,"{'a': 0.3, 'e': 0.999347956274733}",-0.49999999999999994,10,0
86,False,"{'a': 0.3, 'e': 0.999344194453869}",-0.49999999999999994,10,0
87,False,"{'a': 0.3, 'e': 0.9993404109443429}",1.0,1,1
88,False,"{'a': 0.3, 'e': 0.9993366056212751}",-0.49999999999999994,10,0
89,False,"{'a': 0.3, 'e': 0.9993327783590689}",1.0,1,1
90,False,"{'a': 0.3, 'e': 0.9993289290314064}",-0.49999999999999994,10,0
91,False,"{'a': 0.3, 'e': 0.9993250575112445}",1.0,1,1
92,False,"{'a': 0.3, 'e': 0.9993211636708103}",1.0,1,1
93,False,"{'a': 0.3, 'e': 0.9993172473815973}",-0.49999999999999994,10,0
94,False,"{'a': 0.3, 'e': 0.999313308514362}",-0.49999999999999994,10,0
95,False,"{'a': 0.3, 'e': 0.9993093469391175}",-0.49999999999999994,10,0
96,False,"{'a': 0.3, 'e': 0.999305362525132}",-0.49999999999999994,10,0
97,False,"{'a': 0.3, 'e': 0.999301355140922}",1.0,1,1
98,False,"{'a': 0.3, 'e': 0.9992973246542498}",-0.49999999999999994,10,0
99,False,"{'a': 0.3, 'e': 0.9992932709321184}",-0.49999999999999994,10,0
100,False,"{'a': 0.3, 'e': 0.9992891938407674}",1.0,1,1
101,False,"{'a': 0.3, 'e': 0.9992850932456686}",-0.49999999999999994,10,0
102,False,"{'a': 0.3, 'e': 0.9992809690115213}",1.0,1,1
103,False,"{'a': 0.3, 'e': 0.9992768210022488}",-0.49999999999999994,10,0
104,False,"{'a': 0.3, 'e': 0.9992726490809927}",1.0,1,1
105,False,"{'a': 0.3, 'e': 0.9992684531101097}",-0.49999999999999994,10,0
106,False,"{'a': 0.3, 'e': 0.9992642329511656}",-0.49999999999999994,10,0
107,False,"{'a': 0.3, 'e': 0.9992599884649329}",-0.49999999999999994,10,0
108,False,"{'a': 0.3, 'e': 0.9992557195113844}",-0.49999999999999994,10,0
109,False,"{'a': 0.3, 'e': 0.9992514259496894}",-0.49999999999999994,10,0
110,False,"{'a': 0.3, 'e': 0.9992471076382088}",1.0,1,1
111,False,"{'a': 0.3, 'e': 0.9992427644344913}",1.0,1,1
112,False,"{'a': 0.3, 'e': 0.9992383961952678}",-0.49999999999999994,10,0
113,False,"{'a': 0.3, 'e': 0.9992340027764471}",-0.49999999999999994,10,0
114,False,"{'a': 0.3, 'e': 0.9992295840331115}",1.0,1,1
115,False,"{'a': 0.3, 'e': 0.9992251398195117}",-0.49999999999999994,10,0
116,False,"{'a': 0.3, 'e': 0.9992206699890621}",1.0,1,1
117,False,"{'a': 0.3, 'e': 0.9992161743943362}",-0.49999999999999994,10,0
118,False,"{'a': 0.3, 'e': 0.9992116528870618}",1.0,1,1
119,False,"{'a': 0.3, 'e': 0.9992071053181162}",-0.49999999999999994,10,0
120,False,"{'a': 0.3, 'e': 0.9992025315375207}",1.0,1,1
121,False,"{'a': 0.3, 'e': 0.9991979313944369}",-0.49999999999999994,10,0
122,False,"{'a': 0.3, 'e': 0.9991933047371612}",-0.49999999999999994,10,0
123,False,"{'a': 0.3, 'e': 0.9991886514131191}",-0.49999999999999994,10,0
124,False,"{'a': 0.3, 'e': 0.9991839712688618}",-0.49999999999999994,10,0
125,False,"{'a': 0.3, 'e': 0.9991792641500604}",-0.49999999999999994,10,0
126,False,"{'a': 0.3, 'e': 0.9991745299015}",1.0,1,1
127,False,"{'a': 0.3, 'e': 0.9991697683670765}",-0.49999999999999994,10,0
128,False,"{'a': 0.3, 'e': 0.9991649793897905}",1.0,1,1
129,False,"{'a': 0.3, 'e': 0.9991601628117415}",-0.49999999999999994,10,0
130,False,"{'a': 0.3, 'e': 0.9991553184741242}",-0.49999999999999994,10,0
131,False,"{'a': 0.3, 'e': 0.9991504462172227}",1.0,1,1
132,False,"{'a': 0.3, 'e': 0.999145545880405}",1.0,1,1
133,False,"{'a': 0.3, 'e': 0.9991406173021186}",1.0,1,1
134,False,"{'a': 0.3, 'e': 0.9991356603198839}",-0.49999999999999994,10,0
135,False,"{'a': 0.3, 'e': 0.9991306747702908}",-0.49999999999999994,10,0
136,False,"{'a': 0.3, 'e': 0.9991256604889915}",-0.49999999999999994,10,0
137,False,"{'a': 0.3, 'e': 0.9991206173106967}",-0.49999999999999994,10,0
138,False,"{'a': 0.3, 'e': 0.9991155450691691}",-0.49999999999999994,10,0
139,False,"{'a': 0.3, 'e': 0.9991104435972187}",1.0,1,1
140,False,"{'a': 0.3, 'e': 0.9991053127266971}",1.0,1,1
141,False,"{'a': 0.3, 'e': 0.9991001522884922}",-0.49999999999999994,10,0
142,False,"{'a': 0.3, 'e': 0.9990949621125228}",-0.49999999999999994,10,0
143,False,"{'a': 0.3, 'e': 0.9990897420277325}",-0.49999999999999994,10,0
