trial,testing,parameters,net_reward,age,success
1,False,"{'a': 0.3, 'e': 0.9995955318789526}",0.9,3,1
2,False,"{'a': 0.3, 'e': 0.9995908502751061}",1.0,1,1
3,False,"{'a': 0.3, 'e': 0.9995861145054593}",1.0,1,1
4,False,"{'a': 0.3, 'e': 0.99958132394384}",0.8,5,1
5,False,"{'a': 0.3, 'e': 0.9995764779568498}",0.9,3,1
6,False,"{'a': 0.3, 'e': 0.999571575903781}",0.9,3,1
7,False,"{'a': 0.3, 'e': 0.9995666171365315}",-0.49999999999999994,10,0
8,False,"{'a': 0.3, 'e': 0.9995616009995208}",1.0,1,1
9,False,"{'a': 0.3, 'e': 0.9995565268296037}",1.0,1,1
10,False,"{'a': 0.3, 'e': 0.9995513939559832}",0.8,5,1
11,False,"{'a': 0.3, 'e': 0.9995462017001225}",0.95,2,1
12,False,"{'a': 0.3, 'e': 0.999540949375656}",1.0,1,1
13,False,"{'a': 0.3, 'e': 0.9995356362882994}",0.95,2,1
14,False,"{'a': 0.3, 'e': 0.9995302617357593}",1.0,1,1
15,False,"{'a': 0.3, 'e': 0.9995248250076398}",0.95,2,1
16,False,"{'a': 0.3, 'e': 0.9995193253853505}",1.0,1,1
17,False,"{'a': 0.3, 'e': 0.9995137621420117}",0.8,5,1
18,False,"{'a': 0.3, 'e': 0.99950813454236}",0.9,3,1
19,False,"{'a': 0.3, 'e': 0.9995024418426504}",1.0,1,1
20,False,"{'a': 0.3, 'e': 0.9994966832905607}",0.95,2,1
1,True,"{'a': 0.3, 'e': 0.9994908581250919}",-0.49999999999999994,10,0
2,True,"{'a': 0.3, 'e': 0.9994849655764688}",1.0,1,1
3,True,"{'a': 0.3, 'e': 0.9994790048660391}",0.85,4,1
4,True,"{'a': 0.3, 'e': 0.9994729752061716}",1.0,1,1
5,True,"{'a': 0.3, 'e': 0.9994668758001531}",0.85,4,1
6,True,"{'a': 0.3, 'e': 0.999460705842084}",-0.49999999999999994,10,0
7,True,"{'a': 0.3, 'e': 0.9994544645167728}",0.95,2,1
8,True,"{'a': 0.3, 'e': 0.9994481509996296}",1.0,1,1
9,True,"{'a': 0.3, 'e': 0.9994417644565581}",1.0,1,1
10,True,"{'a': 0.3, 'e': 0.9994353040438466}",0.85,4,1
