trial,testing,parameters,net_reward,age,success
1,False,"{'a': 0.3, 'e': 0.9499}",1.0,1,1
2,False,"{'a': 0.3, 'e': 0.8998999999999999}",1.0,1,1
3,False,"{'a': 0.3, 'e': 0.8498999999999999}",0.95,2,1
4,False,"{'a': 0.3, 'e': 0.7998999999999998}",1.0,1,1
5,False,"{'a': 0.3, 'e': 0.7498999999999998}",0.75,6,1
6,False,"{'a': 0.3, 'e': 0.6998999999999997}",0.85,4,1
7,False,"{'a': 0.3, 'e': 0.6498999999999997}",0.75,6,1
8,False,"{'a': 0.3, 'e': 0.5998999999999997}",1.0,1,1
9,False,"{'a': 0.3, 'e': 0.5498999999999996}",0.75,6,1
10,False,"{'a': 0.3, 'e': 0.4998999999999996}",0.95,2,1
11,False,"{'a': 0.3, 'e': 0.44989999999999963}",0.95,2,1
12,False,"{'a': 0.3, 'e': 0.39989999999999964}",0.95,2,1
13,False,"{'a': 0.3, 'e': 0.34989999999999966}",1.0,1,1
14,False,"{'a': 0.3, 'e': 0.29989999999999967}",0.95,2,1
15,False,"{'a': 0.3, 'e': 0.24989999999999968}",1.0,1,1
16,False,"{'a': 0.3, 'e': 0.1998999999999997}",0.7,7,1
17,False,"{'a': 0.3, 'e': 0.1498999999999997}",0.85,4,1
18,False,"{'a': 0.3, 'e': 0.0998999999999997}",1.0,1,1
19,False,"{'a': 0.3, 'e': 0.049899999999999695}",0.8,5,1
20,False,"{'a': 0.3, 'e': -0.00010000000000030818}",0.9,3,1
1,True,"{'a': 0.0, 'e': 0.0}",1.0,1,1
2,True,"{'a': 0.0, 'e': 0.0}",1.0,1,1
3,True,"{'a': 0.0, 'e': 0.0}",0.65,8,1
4,True,"{'a': 0.0, 'e': 0.0}",0.85,4,1
5,True,"{'a': 0.0, 'e': 0.0}",0.95,2,1
6,True,"{'a': 0.0, 'e': 0.0}",1.0,1,1
7,True,"{'a': 0.0, 'e': 0.0}",0.75,6,1
8,True,"{'a': 0.0, 'e': 0.0}",0.85,4,1
9,True,"{'a': 0.0, 'e': 0.0}",0.95,2,1
10,True,"{'a': 0.0, 'e': 0.0}",1.0,1,1
