trial,testing,parameters,net_reward,age,success
1,False,"{'a': 0.3, 'e': 0.9499}",0.55,10,1
2,False,"{'a': 0.3, 'e': 0.8998999999999999}",-0.49999999999999994,10,0
3,False,"{'a': 0.3, 'e': 0.8498999999999999}",0.95,2,1
4,False,"{'a': 0.3, 'e': 0.7998999999999998}",-0.49999999999999994,10,0
5,False,"{'a': 0.3, 'e': 0.7498999999999998}",-0.2,4,0
6,False,"{'a': 0.3, 'e': 0.6998999999999997}",0.7,7,1
7,False,"{'a': 0.3, 'e': 0.6498999999999997}",-0.49999999999999994,10,0
8,False,"{'a': 0.3, 'e': 0.5998999999999997}",-0.49999999999999994,10,0
9,False,"{'a': 0.3, 'e': 0.5498999999999996}",-0.15000000000000002,3,0
10,False,"{'a': 0.3, 'e': 0.4998999999999996}",-0.49999999999999994,10,0
11,False,"{'a': 0.3, 'e': 0.44989999999999963}",0.75,6,1
12,False,"{'a': 0.3, 'e': 0.39989999999999964}",-0.49999999999999994,10,0
13,False,"{'a': 0.3, 'e': 0.34989999999999966}",0.6000000000000001,9,1
14,False,"{'a': 0.3, 'e': 0.29989999999999967}",-0.1,2,0
15,False,"{'a': 0.3, 'e': 0.24989999999999968}",0.95,2,1
16,False,"{'a': 0.3, 'e': 0.1998999999999997}",-0.1,2,0
17,False,"{'a': 0.3, 'e': 0.1498999999999997}",0.8,5,1
18,False,"{'a': 0.3, 'e': 0.0998999999999997}",-0.05,1,0
19,False,"{'a': 0.3, 'e': 0.049899999999999695}",-0.49999999999999994,10,0
20,False,"{'a': 0.3, 'e': -0.00010000000000030818}",0.95,2,1
1,True,"{'a': 0.0, 'e': 0.0}",0.8,5,1
2,True,"{'a': 0.0, 'e': 0.0}",-0.39999999999999997,8,0
3,True,"{'a': 0.0, 'e': 0.0}",0.55,10,1
4,True,"{'a': 0.0, 'e': 0.0}",-0.39999999999999997,8,0
5,True,"{'a': 0.0, 'e': 0.0}",-0.49999999999999994,10,0
6,True,"{'a': 0.0, 'e': 0.0}",1.0,1,1
7,True,"{'a': 0.0, 'e': 0.0}",-0.44999999999999996,9,0
8,True,"{'a': 0.0, 'e': 0.0}",-0.2,4,0
9,True,"{'a': 0.0, 'e': 0.0}",0.75,6,1
10,True,"{'a': 0.0, 'e': 0.0}",-0.49999999999999994,10,0
